provider_id,source_serial,county_city,district,provider_name,service_hours_raw,emergency_available,outpatient_available,service_type,patient_note,source_version,source_last_update,source_url,source_page,extraction_date,verification_status
TW-PEP-080,80,南投縣,竹山鎮,竹山秀傳醫療社團法人竹山秀傳醫院,感染科門診：週一、週三 08:30-12:00；週二、週四 14:00-17:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-081,81,南投縣,南投市,衛生福利部南投醫院,感染科門診：週三、四下午門診時段；週一夜間門診,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-082,82,雲林縣,斗六市,國立臺灣大學醫學院附設醫院雲林分院-斗六院區,感染科門診：週二 08:30-11:00、 週四 13:30-16:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-083,83,雲林縣,虎尾鎮,國立臺灣大學醫學院附設醫院雲林分院-虎尾院區,感染科門診：週三 13:30-16:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-084,84,雲林縣,斗六市,國立成功大學醫學院附設醫院-斗六分院,感染科門診：週一13:30-16:30、週四17:30-20:30,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-085,85,雲林縣,麥寮鄉,長庚醫療財團法人雲林長庚紀念醫院,感染科門診：週四 (隔週) 08:30-11:30,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-086,86,雲林縣,虎尾鎮,天主教若瑟醫療財團法人若瑟醫院,"預防投藥診：週一、週二、週四09:00-12:00，
週一、週三、週五14:00-17:00",yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-087,87,嘉義縣,朴子市,長庚醫療財團法人嘉義長庚紀念醫院,感染科門診：週一、週二 13:30-16:30； 週四、週五 08:30-11:30,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-088,88,嘉義縣,大林鎮,佛教慈濟醫療財團法人大林慈濟醫院,感染科門診： 週一、週二、週四08:30-12:00；週三 14:00-17:00,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-089,89,嘉義市,西區,臺中榮民總醫院嘉義分院,"感染科蔡哲安醫師門診：週二上午0830-1130
感染科林育蕙醫師：週三上午0830-1130",yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-090,90,嘉義市,東區,戴德森醫療財團法人嘉義基督教醫院,感染科門診：(1) 許國忠醫師：週一 09:00-12:00、週二 14:00-17:00 (2)洪冬哲醫師：週四 09:00-12:00 、週五 14:00-17:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-091,91,臺南市,永康區,奇美醫療財團法人奇美醫院,感染科門診：週一、週二、週三、週四、週五 09:00~12:00；週一、週二、週四、週五 14:00~17:00；週一、週三 18:00~21:00 (夜間門診),yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-092,92,臺南市,北區,國立成功大學醫學院附設醫院,感染科/預防性投藥諮詢門診時段：週一至週五 09:00-12:00；週二、週三、週四 13:30-16:30,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-093,93,臺南市,永康區,吳鴻均泌尿科診所,吳鴻均醫師門診時間：週一 至週六 9:00-12:00；週一、 週二、週五 15:30-17:30；週一至週五 18:00-21:00,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
